,Security,SEC Filings,GICS Sector,GICS Sub Industry,Location,Date Added,CIK,Founded,const,Index,Oil,Gold,NaturalGas,Group
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930,-0.2729314634933363,0.38346943620287205,0.33801994240632793,0.009106093231682539,-1.8262647646662464,6
AMGN,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980,-0.2729314634933363,-0.314126451204686,-0.8237386029044848,0.009106093231682539,0.03125780835837168,1
APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932,-0.2729314634933363,0.5364486017966129,0.007756672699786574,1.3158939506668126,0.03125780835837168,0
ADI,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281,1965,-0.2729314634933363,0.3905307077962875,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
ANSS,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1013462,1969,-0.2729314634933363,-0.03366896937552896,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
AON,Aon,reports,Financials,Insurance Brokers,"London, UK",1996-04-23,315293,1982 (1919),-0.2729314634933363,-0.4571691391516676,-0.2988471526456789,0.009106093231682539,0.03125780835837168,1
APA,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1841666,1954,-0.2729314634933363,0.036559494186521005,4.7989830257370825,0.009106093231682539,0.03125780835837168,4
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,-0.2729314634933363,-0.2799642273541123,-0.49042777318331066,0.009106093231682539,3.822685962292533,5
AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,6951,1967,-0.2729314634933363,0.6524792944360126,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
ACGL,Arch Capital Group,reports,Financials,Reinsurance,"Hamilton, Bermuda",2022-11-01,947484,1995,1.7340454206414013,-1.389677942840487,-0.40299936862381547,0.009106093231682539,0.03125780835837168,2
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354190,1927,-0.2729314634933363,-0.81680502383236,-0.24005112039717488,0.009106093231682539,0.03125780835837168,1
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",2007-04-10,1267238,1892,-0.2729314634933363,-0.1774887632598216,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
T,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885),-0.2729314634933363,-1.5188868719206807,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906,-0.2729314634933363,-1.142048098076803,-0.3271792898929056,0.009106093231682539,0.03125780835837168,1
ADSK,Autodesk,reports,Information Technology,Application Software,"San Francisco, California",1989-12-01,769397,1982,-0.2729314634933363,1.471858483285206,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,866787,1979,2.938196763197524,-1.628144319128646,-0.7254383085365493,1.7875821333016009,0.03125780835837168,2
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia",2007-01-10,915912,1978,-0.2729314634933363,-0.5942232758741864,-0.5368472098011771,0.009106093231682539,0.03125780835837168,1
AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",1987-12-31,8818,1990,-0.2729314634933363,0.38196845583395594,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874),-0.2729314634933363,2.094381314421475,0.007756672699786574,-4.083850756732819,0.03125780835837168,7
BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,10456,1931,-0.2729314634933363,-0.9745771283595437,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897,-0.2729314634933363,-1.0238880304607574,-0.2725148122294679,0.009106093231682539,0.03125780835837168,1
WRB,Berkley,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967,-0.2729314634933363,-0.986900134893678,-0.3390833634724936,-1.005787852320141,0.03125780835837168,1
BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,764478,1966,-0.2729314634933363,-0.11150758114888092,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
BIO,Bio-Rad,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22,12208,1952,-0.2729314634933363,-0.7181836063981257,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
TECH,Bio-Techne,reports,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,842023,1976,-0.2729314634933363,-0.8123275711496429,-0.5364345799549637,0.009106093231682539,0.03125780835837168,1
BIIB,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875045,1978,-0.2729314634933363,0.030007029135983968,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York City, New York",2011-04-04,1364742,1988,-0.2729314634933363,1.1375127962345932,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1390777,1784,-0.2729314634933363,0.8679433338006333,0.007756672699786574,-1.347406870822406,0.03125780835837168,7
BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",1957-03-04,12927,1916,-0.2729314634933363,0.249369841849584,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,908255,1880,-0.2729314634933363,1.3045320812976744,0.49324140353365314,0.009106093231682539,0.03125780835837168,3
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1037540,1970,-0.2729314634933363,-0.11185484724310953,-0.3090213361241083,0.009106093231682539,0.03125780835837168,1
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,885725,1979,-0.2729314634933363,0.14521329001680336,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
BMY,Bristol Myers Squibb,reports,Health Care,Health Care Distributors,"New York City, New York",1957-03-04,14272,1989,-0.2729314634933363,-1.1185226368170933,-0.5023125440705046,0.009106093231682539,0.03125780835837168,1
AVGO,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",2014-05-08,1730168,1961,4.028606374482674,0.9364035789653604,0.007756672699786574,2.620228169539122,0.03125780835837168,2
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1383312,1962,-0.2729314634933363,-0.6412372666911146,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
BRO,Brown & Brown,reports,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,79282,1939,-0.2729314634933363,-0.7752306345532451,0.007756672699786574,-1.2282757419556967,0.03125780835837168,1
CHRW,C.H. Robinson,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905,-0.2729314634933363,-0.6763543571893514,-0.3599672107367196,0.009106093231682539,-2.587898246530487,6
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",2017-09-18,813672,1988,-0.2729314634933363,0.2111995501476988,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
CPT,Camden Property Trust,reports,Real Estate,Residential REITs,"Houston, Texas",2022-04-04,906345,1981,-0.2729314634933363,-0.40142275142123435,-0.5309313688869126,0.009106093231682539,0.03125780835837168,1
CPB,Campbell Soup Company,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,16732,1869,-0.2729314634933363,-1.810178783747908,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
COF,Capital One,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,927628,1994,-0.2729314634933363,0.8838809998503933,0.007756672699786574,-1.5160697469608264,0.03125780835837168,7
CAH,Cardinal Health,reports,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,721371,1971,-0.2729314634933363,-0.46580941625751554,-0.5375079072370221,0.009106093231682539,0.03125780835837168,1
KMX,CarMax,reports,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2010-06-28,1170010,1993,-0.2729314634933363,0.5394302675417838,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
CCL,Carnival,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,815097,1972,-0.2729314634933363,0.8809747883218152,-1.49769776632021,0.009106093231682539,0.03125780835837168,3
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Irving, Texas",1957-03-04,18230,1925,-0.2729314634933363,0.5441531802116213,1.4481457131951632,1.9327116883047513,-3.186679036902489,6
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,1306830,1918,-0.2729314634933363,1.731610060443353,1.1636265919946587,0.009106093231682539,0.03125780835837168,3
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984,-0.2729314634933363,0.26760739967723945,-0.6612808213110343,0.009106093231682539,0.03125780835837168,3
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882,-0.2729314634933363,-1.0833437201290572,0.4592027098526779,0.009106093231682539,0.03125780835837168,1
CF,CF Industries,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,1946,-0.2729314634933363,0.03625001285689871,1.8968100780623298,0.009106093231682539,0.03125780835837168,4
CRL,Charles River Laboratories,reports,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1100682,1947,-0.2729314634933363,-0.1373674110298346,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316709,1971,-0.2729314634933363,1.2307447735069805,0.007756672699786574,-3.222282099250525,0.03125780835837168,7
CVX,Chevron Corporation,reports,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879,-0.2729314634933363,-0.609285165582818,2.383323370948993,0.009106093231682539,0.03125780835837168,4
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993,-0.2729314634933363,-0.6007353191876517,0.007756672699786574,0.009106093231682539,-6.131233299292946,6
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985,-0.2729314634933363,-0.656154661192679,-0.701472976891592,0.009106093231682539,0.03125780835837168,1
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847,-0.2729314634933363,-1.5240780731156744,-0.3415326958437721,0.009106093231682539,0.03125780835837168,1
CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,1739940,1982,-0.2729314634933363,-0.1540196254784058,-0.6177715588583585,-1.7467278882837654,0.03125780835837168,7
